subject,session1,session2,label,volume1,volume2,abs_volume_diff,dice,surface_dice,hd95,label_name,volume_diff,percentage_vol_diff
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1002,4147.0,4244.0,97.0,0.809677034918365,0.9879753812598604,1.0,Caudal Anterior Cingulate L,-97.0,-0.02285579641847314
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1006,1401.0,1413.0,12.0,0.7647476901208244,0.9588504934989972,1.4142135623730951,Entorhinal Cortex L,-12.0,-0.008492569002123142
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1007,8482.0,7810.0,672.0,0.8170881414191014,0.9895997091339452,1.0,Fusiform Gyrus L,672.0,0.08604353393085787
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1008,13480.0,13281.0,199.0,0.8072941967788947,0.9955720811028064,1.0,Inferior Parietal L,199.0,0.014983811459980423
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1012,9891.0,9151.0,740.0,0.774183384098309,0.9739002547566356,1.0,Lateral Orbitofrontal L,740.0,0.08086547918260299
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1014,5089.0,4888.0,201.0,0.7172496742507768,0.963705435777953,1.0,Medial Orbitofrontal L,201.0,0.04112111292962357
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1028,27232.0,27892.0,660.0,0.8200058050939699,0.9888452863487728,1.0,Superior Frontal L,-660.0,-0.02366269898178689
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1030,17345.0,17177.0,168.0,0.839464689183709,0.989888497090318,1.0,Superior Temporal L,168.0,0.009780520463410375
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,1035,6446.0,6218.0,228.0,0.8475994946304485,0.986445134898144,1.0,Insula L,228.0,0.0366677388227726
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2002,2497.0,2482.0,15.0,0.7668206467162081,0.9792870981674712,1.0,Caudal Anterior Cingulate R,15.0,0.0060435132957292505
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2006,1144.0,1194.0,50.0,0.6826347305389222,0.9160305429819128,1.4142135623730951,Entorhinal Cortex R,-50.0,-0.04187604690117253
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2007,9779.0,8411.0,1368.0,0.7874656404617922,0.9608790627422804,1.4142135623730951,Fusiform Gyrus R,1368.0,0.16264415646177624
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2008,12916.0,13619.0,703.0,0.7534200113058225,0.9591633197968722,1.4142135623730951,Inferior Parietal R,-703.0,-0.051619061605110504
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2012,9697.0,9249.0,448.0,0.7538266652591576,0.960695639743508,1.0,Lateral Orbitofrontal R,448.0,0.0484376689371824
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2014,4821.0,4565.0,256.0,0.6712124440656296,0.9099071231238828,1.7320508075688772,Medial Orbitofrontal R,256.0,0.05607886089813801
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2028,32449.0,32518.0,69.0,0.8004371450120831,0.9833648756091424,1.0,Superior Frontal R,-69.0,-0.002121901715972692
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2030,17468.0,17077.0,391.0,0.8151107251411203,0.9840998448787184,1.0,Superior Temporal R,391.0,0.02289629325994027
sub-01,sub-01_ses-siteKPM,sub-01_ses-siteKUT,2035,6339.0,6469.0,130.0,0.8454091193004373,0.9855772699704388,1.0,Insula R,-130.0,-0.02009584170660071
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1002,4244.0,3954.0,290.0,0.6562576238106855,0.92595370691114,1.4142135623730951,Caudal Anterior Cingulate L,290.0,0.07334344967121902
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1006,1413.0,1311.0,102.0,0.7349486049926579,0.9366169467275696,1.4142135623730951,Entorhinal Cortex L,102.0,0.07780320366132723
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1007,7810.0,9023.0,1213.0,0.7425889621576665,0.9685942925176438,1.0,Fusiform Gyrus L,-1213.0,-0.1344342236506705
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1008,13281.0,15848.0,2567.0,0.5665144701156922,0.9103433224403452,1.7320508075688772,Inferior Parietal L,-2567.0,-0.16197627460878344
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1012,9151.0,10254.0,1103.0,0.6931203298119042,0.9317639075683818,1.4142135623730951,Lateral Orbitofrontal L,-1103.0,-0.10756777842793057
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1014,4888.0,5116.0,228.0,0.6395441823270692,0.925246094188841,1.4142135623730951,Medial Orbitofrontal L,-228.0,-0.044566067240031274
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1028,27892.0,27073.0,819.0,0.6956426817065405,0.942207050281391,1.4142135623730951,Superior Frontal L,819.0,0.03025154212684224
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1030,17177.0,18321.0,1144.0,0.7616203729787594,0.9679971676205984,1.0,Superior Temporal L,-1144.0,-0.06244200644069647
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,1035,6218.0,6702.0,484.0,0.8024767801857585,0.96335919578467,1.0,Insula L,-484.0,-0.07221724858251269
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2002,2482.0,2117.0,365.0,0.5823005001087193,0.8849506549228805,3.741657386773941,Caudal Anterior Cingulate R,365.0,0.1724137931034483
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2006,1194.0,1135.0,59.0,0.648346930012881,0.8959867410526355,1.4142135623730951,Entorhinal Cortex R,59.0,0.051982378854625554
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2007,8411.0,10143.0,1732.0,0.7310552980489382,0.9491608024172696,1.4142135623730951,Fusiform Gyrus R,-1732.0,-0.17075815833579808
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2008,13619.0,16536.0,2917.0,0.5760902006300779,0.9133254978759312,2.23606797749979,Inferior Parietal R,-2917.0,-0.17640299951620705
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2012,9249.0,10038.0,789.0,0.6603411624410225,0.9172568842497812,1.4142135623730951,Lateral Orbitofrontal R,-789.0,-0.07860131500298864
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2014,4565.0,5016.0,451.0,0.6283268969836134,0.8821633581117383,2.0,Medial Orbitofrontal R,-451.0,-0.08991228070175439
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2028,32518.0,33304.0,786.0,0.6798638753000517,0.9405050557641734,1.4142135623730951,Superior Frontal R,-786.0,-0.023600768676435263
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2030,17077.0,18899.0,1822.0,0.6844007115855014,0.9119005475299023,1.4142135623730951,Superior Temporal R,-1822.0,-0.09640721731308535
